epoch,loss,ac_score,val_loss,val_ac_score,val_aa_score
0,0.9552697964698549,0.7226587301587302,1.1319438827605475,0.6963492063492064,"{0: 5471.047619047619, 1: 2175.695238095238, 2: 5310.133333333333, 3: 5338.974891774891, 4: 5813.333333333333, 5: 6176.0, 6: 1668.2666666666669, 7: 4646.666666666667, 8: 1090.1333333333334, 9: 4269.0666666666675, 10: 5134.780952380952, 11: 4536.380952380953, 12: 4492.4571428571435, 13: 3278.933333333334, 14: 4781.0666666666675, 15: 4801.980952380952, 16: 3183.847619047619, 17: 4761.866666666667, 18: 5170.666666666668, 19: 3773.5619047619048, 20: 4251.428571428572, 21: 5015.733333333333, 22: 4808.533333333334, 23: 4736.266666666666, 24: 3683.6571428571424, 25: 2823.3142857142857, 26: 3144.533333333333, 27: 4802.133333333333, 28: 2061.0666666666666, 29: 4399.2, 30: 2641.5238095238096, 31: 5521.333333333332, 32: 3567.542857142857, 33: 3330.1333333333337, 34: 2092.8, 35: 5314.438095238095, 36: 1618.2857142857138, 37: 3999.6952380952384, 38: 3702.8571428571436, 39: 5659.733333333333, 40: 3276.152380952381, 41: 4076.495238095238, 42: 5578.666666666667, 43: 5553.333333333334, 44: 3673.6000000000004}"
1,0.5295998189184401,0.8357936507936508,0.6377111765316554,0.8034920634920635,"{0: 5463.733333333334, 1: 5582.0, 2: 4949.6, 3: 4982.957575757577, 4: 5638.4, 5: 5164.799999999999, 6: 4172.8, 7: 4582.666666666667, 8: 4019.2000000000003, 9: 5788.0, 10: 5330.895238095238, 11: 5574.400000000001, 12: 5002.323809523809, 13: 5469.866666666667, 14: 5416.8, 15: 4956.495238095238, 16: 3185.67619047619, 17: 5242.799999999999, 18: 5170.666666666667, 19: 5479.295238095238, 20: 5539.047619047619, 21: 4361.714285714286, 22: 4821.333333333332, 23: 5363.466666666667, 24: 1340.0380952380951, 25: 3249.980952380952, 26: 5214.133333333333, 27: 5382.4, 28: 5873.333333333333, 29: 5303.733333333333, 30: 2681.9047619047624, 31: 5183.066666666667, 32: 4595.200000000001, 33: 3159.466666666666, 34: 4569.6, 35: 4938.361904761905, 36: 3825.6761904761906, 37: 5615.542857142857, 38: 5528.380952380951, 39: 5589.333333333333, 40: 3326.1333333333337, 41: 4796.952380952382, 42: 4365.561904761905, 43: 4443.733333333334, 44: 4128.0}"
2,0.41681154737396847,0.8686507936507937,0.5275085391695538,0.8434920634920635,"{0: 5373.828571428571, 1: 4395.847619047619, 2: 4510.133333333333, 3: 4561.721212121212, 4: 5781.333333333333, 5: 5973.333333333333, 6: 2779.7333333333336, 7: 3733.6000000000004, 8: 4911.911111111111, 9: 5517.066666666667, 10: 4991.8476190476185, 11: 4936.228571428572, 12: 5510.666666666667, 13: 3671.466666666667, 14: 5747.2, 15: 5375.8476190476185, 16: 4341.028571428572, 17: 4346.8, 18: 4980.8, 19: 5660.0, 20: 5539.047619047618, 21: 4851.466666666666, 22: 5205.333333333333, 23: 5235.466666666667, 24: 4781.409523809524, 25: 5476.533333333333, 26: 5417.733333333333, 27: 5749.333333333334, 28: 5551.199999999999, 29: 5715.466666666666, 30: 4620.342857142857, 31: 5916.0, 32: 5260.799999999999, 33: 5158.4, 34: 4917.333333333334, 35: 5661.561904761905, 36: 3347.5047619047605, 37: 5483.276190476191, 38: 5699.047619047619, 39: 5472.0, 40: 4820.533333333334, 41: 3302.0952380952385, 42: 5664.0, 43: 4473.599999999999, 44: 5038.9333333333325}"
3,0.33082773755467126,0.8942460317460318,0.4285987861951192,0.8712698412698413,"{0: 5538.4, 1: 5215.066666666667, 2: 5380.533333333333, 3: 5485.205194805194, 4: 5845.333333333333, 5: 6005.333333333334, 6: 985.5999999999999, 7: 4921.866666666666, 8: 4681.511111111111, 9: 5288.8, 10: 5070.6285714285705, 11: 5708.8, 12: 5132.495238095237, 13: 4868.266666666667, 14: 6129.333333333333, 15: 4727.314285714287, 16: 5007.847619047619, 17: 5399.733333333334, 18: 5518.400000000001, 19: 5417.733333333333, 20: 4892.342857142857, 21: 5532.0, 22: 5576.533333333332, 23: 4117.6, 24: 5442.133333333333, 25: 5278.133333333333, 26: 5453.066666666667, 27: 5696.0, 28: 5830.666666666667, 29: 5152.266666666666, 30: 4831.695238095238, 31: 5734.666666666666, 32: 5661.866666666667, 33: 4347.733333333334, 34: 5329.066666666667, 35: 5760.0, 36: 4518.095238095238, 37: 5412.8761904761905, 38: 5359.542857142857, 39: 5538.133333333332, 40: 5189.599999999999, 41: 3594.6666666666674, 42: 5888.0, 43: 5177.866666666668, 44: 4893.866666666666}"
4,0.24209871547562736,0.9225396825396825,0.309071351091067,0.9046031746031746,"{0: 5681.333333333333, 1: 5606.666666666667, 2: 5416.8, 3: 5601.430303030303, 4: 5760.0, 5: 5804.8, 6: 3733.3333333333335, 7: 4909.066666666667, 8: 4163.822222222223, 9: 5557.599999999999, 10: 5382.247619047619, 11: 5634.133333333333, 12: 5485.066666666667, 13: 4307.2, 14: 5890.4, 15: 5628.8, 16: 5452.8, 17: 5894.666666666666, 18: 5757.333333333334, 19: 5229.980952380953, 20: 5245.866666666667, 21: 5611.847619047619, 22: 5815.466666666665, 23: 5022.133333333334, 24: 5698.133333333332, 25: 4639.200000000001, 26: 5119.066666666666, 27: 5973.333333333333, 28: 5788.0, 29: 4804.533333333334, 30: 4890.2095238095235, 31: 5847.733333333333, 32: 5533.866666666667, 33: 4806.400000000001, 34: 4940.8, 35: 5685.333333333333, 36: 5489.066666666667, 37: 5470.476190476191, 38: 5741.714285714285, 39: 5866.666666666667, 40: 4984.8, 41: 5006.628571428571, 42: 5819.733333333333, 43: 5969.333333333334, 44: 5186.133333333333}"
5,0.1879248043090578,0.9402777777777778,0.24127468797895643,0.926031746031746,"{0: 5660.0, 1: 5382.380952380952, 2: 5591.733333333334, 3: 5919.047619047619, 4: 5845.333333333333, 5: 6208.0, 6: 4505.6, 7: 5239.733333333334, 8: 5428.177777777778, 9: 5736.799999999999, 10: 5519.8476190476185, 11: 5738.666666666667, 12: 5553.333333333333, 13: 4908.8, 14: 5905.333333333333, 15: 5606.4, 16: 4395.276190476191, 17: 5852.0, 18: 5913.066666666667, 19: 5795.333333333334, 20: 5583.8476190476185, 21: 5365.599999999999, 22: 5474.133333333332, 23: 5256.8, 24: 5666.133333333332, 25: 5165.066666666667, 26: 5502.133333333332, 27: 5941.333333333333, 28: 5788.0, 29: 5764.533333333333, 30: 5404.495238095238, 31: 5873.333333333333, 32: 4800.0, 33: 4806.400000000001, 34: 5730.133333333333, 35: 5684.114285714286, 36: 5277.866666666667, 37: 5062.704761904762, 38: 5805.714285714285, 39: 5809.066666666667, 40: 5036.0, 41: 4889.6, 42: 5845.333333333333, 43: 6033.333333333334, 44: 5224.533333333333}"
6,0.1341751792459261,0.9556349206349206,0.2037479209332239,0.9380952380952381,"{0: 5641.714285714286, 1: 5713.333333333333, 2: 5113.866666666668, 3: 5491.6051948051945, 4: 5845.333333333333, 5: 6240.0, 6: 5350.4, 7: 5214.133333333333, 8: 4918.31111111111, 9: 5788.0, 10: 5339.580952380952, 11: 5687.466666666667, 12: 5553.333333333333, 13: 5405.866666666667, 14: 5879.733333333334, 15: 5638.400000000001, 16: 4739.961904761905, 17: 5852.0, 18: 5842.666666666667, 19: 5731.333333333334, 20: 5627.733333333333, 21: 5299.466666666667, 22: 5862.399999999999, 23: 5587.466666666667, 24: 5649.066666666666, 25: 5475.466666666666, 26: 5224.8, 27: 5920.0, 28: 5948.0, 29: 5578.9333333333325, 30: 5118.323809523809, 31: 5916.0, 32: 5437.866666666666, 33: 4625.066666666667, 34: 5824.0, 35: 5781.333333333333, 36: 5627.733333333333, 37: 5630.476190476191, 38: 5758.780952380952, 39: 5802.666666666667, 40: 5873.333333333333, 41: 4908.190476190476, 42: 5909.333333333333, 43: 6108.0, 44: 5292.799999999999}"
7,0.09554760089942387,0.970515873015873,0.17640842317588745,0.9461904761904761,"{0: 5737.714285714286, 1: 5617.333333333334, 2: 5495.733333333334, 3: 5785.811255411255, 4: 5888.0, 5: 6197.333333333333, 6: 5365.333333333333, 7: 5521.333333333333, 8: 5021.422222222222, 9: 5730.4, 10: 5471.847619047619, 11: 5766.4, 12: 5521.333333333333, 13: 5480.533333333333, 14: 5704.8, 15: 5713.0666666666675, 16: 4962.742857142857, 17: 5916.0, 18: 6024.000000000001, 19: 5680.133333333333, 20: 5602.133333333333, 21: 5655.733333333334, 22: 5975.466666666665, 23: 5523.466666666667, 24: 5647.847619047618, 25: 5256.8, 26: 5357.066666666667, 27: 5813.333333333333, 28: 5948.0, 29: 5773.066666666667, 30: 5396.8761904761905, 31: 5916.0, 32: 5629.866666666666, 33: 4599.466666666667, 34: 5823.999999999999, 35: 5824.0, 36: 5455.8476190476185, 37: 5502.476190476191, 38: 5805.714285714285, 39: 5888.0, 40: 5299.466666666666, 41: 5498.5142857142855, 42: 5834.666666666666, 43: 6097.333333333334, 44: 5239.466666666666}"
8,0.07030909488598505,0.9783730158730158,0.1622762447027933,0.9507936507936507,"{0: 5756.0, 1: 5649.333333333334, 2: 5613.066666666667, 3: 5817.811255411255, 4: 5888.0, 5: 6240.0, 6: 5218.133333333333, 7: 5224.8, 8: 5381.2444444444445, 9: 5762.4, 10: 5503.847619047619, 11: 5792.0, 12: 5617.333333333333, 13: 5527.466666666666, 14: 5922.400000000001, 15: 5687.466666666667, 16: 4962.742857142857, 17: 5916.0, 18: 5789.333333333333, 19: 5646.0, 20: 5602.133333333333, 21: 5549.066666666667, 22: 5851.733333333333, 23: 5715.466666666667, 24: 5609.447619047618, 25: 5570.400000000001, 26: 5538.400000000001, 27: 5824.0, 28: 5916.0, 29: 5747.466666666666, 30: 5418.209523809524, 31: 5916.0, 32: 5698.133333333333, 33: 4812.8, 34: 6016.0, 35: 5728.0, 36: 5758.780952380952, 37: 5680.7619047619055, 38: 5805.714285714285, 39: 5866.666666666667, 40: 5194.780952380952, 41: 5275.1238095238095, 42: 6016.0, 43: 5969.333333333334, 44: 5132.799999999999}"
9,0.057102812495496535,0.9836507936507937,0.15302602205957685,0.953968253968254,"{0: 5756.0, 1: 5681.333333333334, 2: 5581.066666666667, 3: 5924.477922077922, 4: 5888.0, 5: 6240.0, 6: 5388.799999999999, 7: 5468.0, 8: 5253.2444444444445, 9: 5762.4, 10: 5407.847619047619, 11: 5792.0, 12: 5617.333333333333, 13: 5420.799999999999, 14: 5986.400000000001, 15: 5730.133333333333, 16: 5077.942857142857, 17: 5916.0, 18: 5746.666666666667, 19: 5731.333333333334, 20: 5602.133333333333, 21: 5591.733333333334, 22: 5915.733333333333, 23: 5694.133333333333, 24: 5583.847619047618, 25: 5378.400000000001, 26: 5431.733333333334, 27: 5824.0, 28: 5916.0, 29: 5683.466666666666, 30: 5418.209523809524, 31: 5916.0, 32: 5623.466666666666, 33: 5051.733333333334, 34: 5973.333333333333, 35: 5696.0, 36: 5758.780952380952, 37: 5680.7619047619055, 38: 5805.714285714285, 39: 5802.666666666667, 40: 5261.066666666667, 41: 5387.27619047619, 42: 6016.0, 43: 6097.333333333334, 44: 5324.799999999999}"
